image,object_class,background,center_score,box_score,multi_point_score,best_score,best_method,width,height,area,aspect_ratio
airplane_000.jpg,airplane,land,0.9785630702972412,1.0044970512390137,1.0170053243637085,1.0170053243637085,multi,59,29,1711,2.0344827586206895
airplane_001.jpg,airplane,land,0.9889109134674072,1.0018740892410278,0.9670060873031616,1.0018740892410278,box,39,19,741,2.0526315789473686
airplane_002.jpg,airplane,water,0.991966724395752,1.00478196144104,1.0113941431045532,1.0113941431045532,multi,49,24,1176,2.0416666666666665
airplane_003.jpg,airplane,water,0.9969407320022583,1.002617359161377,0.9770635366439819,1.002617359161377,box,56,28,1568,2.0
airplane_004.jpg,airplane,vegetation,0.9981862902641296,0.9976881742477417,0.9764225482940674,0.9981862902641296,center,33,16,528,2.0625
airplane_005.jpg,airplane,water,0.9935861825942993,1.0045186281204224,0.9854000806808472,1.0045186281204224,box,45,22,990,2.0454545454545454
airplane_006.jpg,airplane,urban,1.0056639909744263,1.0027656555175781,0.9733583927154541,1.0056639909744263,center,46,23,1058,2.0
airplane_007.jpg,airplane,water,0.9857542514801025,1.0030750036239624,0.9598971605300903,1.0030750036239624,box,42,21,882,2.0
airplane_008.jpg,airplane,land,0.9912204742431641,1.0052387714385986,0.9744842052459717,1.0052387714385986,box,55,27,1485,2.037037037037037
airplane_009.jpg,airplane,water,0.9911458492279053,1.0056414604187012,0.9936243295669556,1.0056414604187012,box,59,29,1711,2.0344827586206895
building_000.jpg,building,land,0.983222484588623,1.0084917545318604,0.9898284673690796,1.0084917545318604,box,76,76,5776,1.0
building_001.jpg,building,urban,0.9891789555549622,1.015010952949524,0.9793223142623901,1.015010952949524,box,91,91,8281,1.0
building_002.jpg,building,land,0.9814698100090027,1.0094267129898071,0.9892514944076538,1.0094267129898071,box,62,62,3844,1.0
building_003.jpg,building,water,0.986107587814331,1.0156750679016113,0.9959405660629272,1.0156750679016113,box,84,84,7056,1.0
building_004.jpg,building,water,0.9847976565361023,1.0108391046524048,0.9949028491973877,1.0108391046524048,box,74,74,5476,1.0
building_005.jpg,building,land,0.9748774170875549,1.0118334293365479,0.9865860939025879,1.0118334293365479,box,69,69,4761,1.0
building_006.jpg,building,urban,0.9804361462593079,1.013606071472168,0.9801383018493652,1.013606071472168,box,78,78,6084,1.0
building_007.jpg,building,land,0.9830450415611267,1.0114049911499023,0.9883047342300415,1.0114049911499023,box,74,74,5476,1.0
building_008.jpg,building,land,0.9739543199539185,1.007028341293335,0.9917734861373901,1.007028341293335,box,64,64,4096,1.0
building_009.jpg,building,urban,0.9809226393699646,1.008512258529663,0.9900918006896973,1.008512258529663,box,67,67,4489,1.0
ship_000.jpg,ship,land,0.995413601398468,1.0025774240493774,1.0188392400741577,1.0188392400741577,multi,70,33,2310,2.121212121212121
ship_001.jpg,ship,land,1.003618836402893,0.9990745782852173,0.9991581439971924,1.003618836402893,center,55,28,1540,1.9642857142857142
ship_002.jpg,ship,water,0.9818520545959473,0.9942531585693359,0.9634186029434204,0.9942531585693359,box,58,29,1682,2.0
ship_003.jpg,ship,vegetation,0.9931999444961548,1.001579761505127,1.0028340816497803,1.0028340816497803,multi,60,30,1800,2.0
ship_004.jpg,ship,vegetation,1.0014537572860718,1.001327395439148,0.9978572130203247,1.0014537572860718,center,45,25,1125,1.8
ship_005.jpg,ship,urban,0.9877983331680298,0.9995893239974976,0.9865835905075073,0.9995893239974976,box,55,28,1540,1.9642857142857142
ship_006.jpg,ship,water,0.9807958602905273,0.9940465688705444,0.9869202375411987,0.9940465688705444,box,70,33,2310,2.121212121212121
ship_007.jpg,ship,land,0.992599368095398,1.0031323432922363,1.0050411224365234,1.0050411224365234,multi,77,35,2695,2.2
ship_008.jpg,ship,urban,0.9981404542922974,0.9986084699630737,0.9835721254348755,0.9986084699630737,box,47,25,1175,1.88
ship_009.jpg,ship,vegetation,0.9958783388137817,1.0008593797683716,0.9956866502761841,1.0008593797683716,box,52,27,1404,1.9259259259259258
storage-tank_000.jpg,storage-tank,urban,1.012709617614746,1.0082653760910034,0.986170768737793,1.012709617614746,center,49,49,2401,1.0
storage-tank_001.jpg,storage-tank,urban,1.007629632949829,1.01592218875885,0.9819948673248291,1.01592218875885,box,65,65,4225,1.0
storage-tank_002.jpg,storage-tank,vegetation,1.0203745365142822,1.0069607496261597,1.0087931156158447,1.0203745365142822,center,44,44,1936,1.0
storage-tank_003.jpg,storage-tank,vegetation,1.0085477828979492,1.0057451725006104,1.002956748008728,1.0085477828979492,center,41,41,1681,1.0
storage-tank_004.jpg,storage-tank,vegetation,1.0200340747833252,1.0096791982650757,0.9968730211257935,1.0200340747833252,center,65,65,4225,1.0
storage-tank_005.jpg,storage-tank,water,1.0081626176834106,1.0114006996154785,0.9932870864868164,1.0114006996154785,box,44,44,1936,1.0
storage-tank_006.jpg,storage-tank,water,1.0077887773513794,1.0158025026321411,0.9934221506118774,1.0158025026321411,box,57,57,3249,1.0
storage-tank_007.jpg,storage-tank,land,1.0149812698364258,1.0103667974472046,0.996548056602478,1.0149812698364258,center,52,52,2704,1.0
storage-tank_008.jpg,storage-tank,land,1.0048822164535522,1.0107582807540894,1.0115110874176025,1.0115110874176025,multi,68,68,4624,1.0
storage-tank_009.jpg,storage-tank,water,0.9977824687957764,1.0162019729614258,0.9975190162658691,1.0162019729614258,box,60,60,3600,1.0
vehicle_000.jpg,vehicle,land,0.9814957976341248,0.9858603477478027,0.9788085222244263,0.9858603477478027,box,16,8,128,2.0
vehicle_001.jpg,vehicle,urban,0.9753747582435608,0.9828265905380249,0.972510576248169,0.9828265905380249,box,13,6,78,2.1666666666666665
vehicle_002.jpg,vehicle,land,0.9851422309875488,0.9879637956619263,0.9820474982261658,0.9879637956619263,box,18,9,162,2.0
vehicle_003.jpg,vehicle,vegetation,0.9896872043609619,0.9925947189331055,0.9873663783073425,0.9925947189331055,box,15,7,105,2.142857142857143
vehicle_004.jpg,vehicle,water,0.9825985431671143,0.9882551431655884,0.9745839238166809,0.9882551431655884,box,17,8,136,2.125
vehicle_005.jpg,vehicle,vegetation,0.9922488331794739,0.9922727346420288,0.9872081875801086,0.9922727346420288,box,20,10,200,2.0
vehicle_006.jpg,vehicle,vegetation,0.9836266040802002,0.9910470247268677,0.9811370372772217,0.9910470247268677,box,17,8,136,2.125
vehicle_007.jpg,vehicle,land,0.9808604121208191,0.9875071048736572,0.981923520565033,0.9875071048736572,box,14,7,98,2.0
vehicle_008.jpg,vehicle,land,0.9713883996009827,0.9750866889953613,0.9717535376548767,0.9750866889953613,box,11,5,55,2.2
vehicle_009.jpg,vehicle,water,0.9713055491447449,0.9788379669189453,0.9628371000289917,0.9788379669189453,box,17,8,136,2.125
