sample_id,class,strategy,iou,confidence,inference_time,bbox_area
0,building,center_point,0.05630935941452456,0.9063247442245483,0.15435123443603516,13104
0,building,bounding_box,0.8170689295402379,0.8497567176818848,0.008962392807006836,13104
0,building,multiple_points_3,0.05772744196517478,0.6547664999961853,0.06473016738891602,13104
0,building,multiple_points_5,0.2491230899487965,0.6703863143920898,0.0099639892578125,13104
0,building,multiple_points_10,0.7827259649964038,0.8080844879150391,0.009960174560546875,13104
0,building,box_plus_center,0.8161841646320195,0.8809606432914734,0.009959697723388672,13104
0,building,corners_plus_center,0.06138053260294152,0.8139880299568176,0.009955167770385742,13104
1,road,center_point,0.014280393571229887,0.9889658689498901,0.027878761291503906,8695
1,road,bounding_box,0.1473163030998852,0.6752109527587891,0.008959531784057617,8695
1,road,multiple_points_3,0.014279316440777843,0.987415075302124,0.00995182991027832,8695
1,road,multiple_points_5,0.01438292093429631,0.85374915599823,0.009957551956176758,8695
1,road,multiple_points_10,0.022166928903362727,0.7601907253265381,0.008967876434326172,8695
1,road,box_plus_center,0.18121859296482412,0.7161519527435303,0.009957313537597656,8695
1,road,corners_plus_center,0.014297514809657548,0.9558534622192383,0.008964776992797852,8695
2,vehicle,center_point,0.012119037568594344,0.9650028347969055,0.027878284454345703,3564
2,vehicle,bounding_box,0.7203517587939698,0.7232877016067505,0.00994873046875,3564
2,vehicle,multiple_points_3,0.012470680218921032,0.8042701482772827,0.01095724105834961,3564
2,vehicle,multiple_points_5,0.033039495488860246,0.6038904190063477,0.011953353881835938,3564
2,vehicle,multiple_points_10,0.24268560798241162,0.6895356178283691,0.010950088500976562,3564
2,vehicle,box_plus_center,0.5941639072847682,0.7848340272903442,0.010953664779663086,3564
2,vehicle,corners_plus_center,0.019304084720121028,0.7927513122558594,0.009956598281860352,3564
3,vegetation,center_point,0.09892467971728969,0.7888680696487427,0.028876781463623047,68448
3,vegetation,bounding_box,0.3602228575617623,0.8307181596755981,0.009960412979125977,68448
3,vegetation,multiple_points_3,0.10010934517973362,0.9229025840759277,0.010955810546875,68448
3,vegetation,multiple_points_5,0.11706255458671593,0.8853428363800049,0.010953187942504883,68448
3,vegetation,multiple_points_10,0.15050504425709318,0.8552499413490295,0.01095271110534668,68448
3,vegetation,box_plus_center,0.34533770196729147,0.8657983541488647,0.010952949523925781,68448
3,vegetation,corners_plus_center,0.09847096257151246,1.000931739807129,0.009958267211914062,68448
4,water,center_point,0.14312098900552211,0.35512593388557434,0.027884483337402344,55552
4,water,bounding_box,0.6146330177262049,0.8676464557647705,0.009962081909179688,55552
4,water,multiple_points_3,0.14318190226797173,0.9111692905426025,0.010951042175292969,55552
4,water,multiple_points_5,0.14767360021707976,0.9217193722724915,0.010956287384033203,55552
4,water,multiple_points_10,0.35126028178190405,0.846433162689209,0.010953187942504883,55552
4,water,box_plus_center,0.5814584035028629,0.8841005563735962,0.010953664779663086,55552
4,water,corners_plus_center,0.1432908767772512,0.9696477055549622,0.009956836700439453,55552
5,bridge,center_point,0.014120730028462787,0.9770088195800781,0.026880502700805664,14040
5,bridge,bounding_box,0.07949226794473359,0.6773586869239807,0.008964300155639648,14040
5,bridge,multiple_points_3,0.014119792496591774,1.0031239986419678,0.00995945930480957,14040
5,bridge,multiple_points_5,0.014212139573012083,0.9431828260421753,0.00895833969116211,14040
5,bridge,multiple_points_10,0.01860231858365795,0.8248156309127808,0.009959697723388672,14040
5,bridge,box_plus_center,0.08440102498398462,0.7355995774269104,0.009950876235961914,14040
5,bridge,corners_plus_center,0.014122918087075095,0.9731581807136536,0.008966445922851562,14040
6,airport,center_point,0.03778490411725459,0.9788312911987305,0.026891469955444336,52041
6,airport,bounding_box,0.1848114824335904,0.8137065172195435,0.007966279983520508,52041
6,airport,multiple_points_3,0.03799128338519733,0.9520138502120972,0.008962869644165039,52041
6,airport,multiple_points_5,0.03864542885067491,0.9316285848617554,0.008967876434326172,52041
6,airport,multiple_points_10,0.05480897725711574,0.8817957043647766,0.009958267211914062,52041
6,airport,box_plus_center,0.17552845528455285,0.8475645780563354,0.00990915298461914,52041
6,airport,corners_plus_center,0.03776750909982704,1.0007123947143555,0.009010791778564453,52041
