image_id,image_name,strategy,iou,confidence,mask_type
0,P0006.png,center,0.36300938354064993,0.8619312644004822,synthetic
0,P0006.png,bbox,0.5380715896196393,0.7342784404754639,synthetic
0,P0006.png,multi_point,0.33704011822104085,0.9988120198249817,synthetic
1,P0024.png,center,0.10253568522303308,0.6944085359573364,synthetic
1,P0024.png,bbox,0.3515982504997788,0.7435442209243774,synthetic
1,P0024.png,multi_point,0.2714487906774658,0.9663312435150146,synthetic
2,P0026.png,center,0.4028283781146306,0.9706607460975647,synthetic
2,P0026.png,bbox,0.5067385831197047,0.8014953136444092,synthetic
2,P0026.png,multi_point,0.3974290671689058,0.9613550901412964,synthetic
3,P0033.png,center,0.027390344526826624,0.5248734951019287,synthetic
3,P0033.png,bbox,0.08584244073821995,0.5750163197517395,synthetic
3,P0033.png,multi_point,0.24327473240407438,0.8790351152420044,synthetic
4,P0034.png,center,0.26883039108930606,0.8878450989723206,synthetic
4,P0034.png,bbox,0.1552257918006997,0.4566690921783447,synthetic
4,P0034.png,multi_point,0.30512292556641235,0.8374509811401367,synthetic
5,P0037.png,center,0.37446561634217873,0.8775725960731506,synthetic
5,P0037.png,bbox,0.45954940855453735,0.7233250737190247,synthetic
5,P0037.png,multi_point,0.35018187037032517,0.9115301370620728,synthetic
6,P0040.png,center,0.2718786871004955,0.8924137353897095,synthetic
6,P0040.png,bbox,0.4055954666402588,0.9009835124015808,synthetic
6,P0040.png,multi_point,0.2555775532415149,0.9132442474365234,synthetic
7,P0043.png,center,0.0033746339681084547,0.7297664880752563,synthetic
7,P0043.png,bbox,0.13014775040924711,0.48597240447998047,synthetic
7,P0043.png,multi_point,0.2517770318200987,0.6729627847671509,synthetic
8,P0045.png,center,0.39969696728921167,0.7546678781509399,synthetic
8,P0045.png,bbox,0.5258058556306613,0.729141891002655,synthetic
8,P0045.png,multi_point,0.3310344533037712,0.9544540643692017,synthetic
9,P0051.png,center,0.004361702596949999,0.9314523935317993,synthetic
9,P0051.png,bbox,0.5366517777291651,0.6220793724060059,synthetic
9,P0051.png,multi_point,0.39366805167270225,0.9428315162658691,synthetic
10,P0062.png,center,0.0044954298789723545,0.8868858814239502,synthetic
10,P0062.png,bbox,0.6278044640723657,0.7125011086463928,synthetic
10,P0062.png,multi_point,0.35895846093221784,0.854499340057373,synthetic
11,P0069.png,center,0.15921883562870828,0.9384860992431641,synthetic
11,P0069.png,bbox,0.176038279671352,0.8551621437072754,synthetic
11,P0069.png,multi_point,0.15036733235266916,0.8502565622329712,synthetic
12,P0072.png,center,0.17313090418352797,0.9501269459724426,synthetic
12,P0072.png,bbox,0.33850374732332533,0.8417084813117981,synthetic
12,P0072.png,multi_point,0.26683816004203964,0.7707687020301819,synthetic
13,P0077.png,center,0.06327644258677824,0.9930210709571838,synthetic
13,P0077.png,bbox,0.17463427377217947,0.3971603214740753,synthetic
13,P0077.png,multi_point,0.27465510162592427,1.0171501636505127,synthetic
14,P0084.png,center,0.00024068539912776036,0.7593808770179749,synthetic
14,P0084.png,bbox,0.10615698753036919,0.39483267068862915,synthetic
14,P0084.png,multi_point,0.26490076318995814,0.9815996885299683,synthetic
15,P0088.png,center,0.19708437114372124,0.9318882822990417,synthetic
15,P0088.png,bbox,0.06900591365957762,0.5435886383056641,synthetic
15,P0088.png,multi_point,0.4654561284114668,0.6556401252746582,synthetic
16,P0092.png,center,0.12548671806997147,0.9115460515022278,synthetic
16,P0092.png,bbox,0.18196749231388357,0.5794811248779297,synthetic
16,P0092.png,multi_point,0.5241210402712818,0.9321210384368896,synthetic
17,P0101.png,center,0.29706753271561087,0.7389375567436218,synthetic
17,P0101.png,bbox,0.45932727987820765,0.6801478862762451,synthetic
17,P0101.png,multi_point,0.21461946685644107,0.9007198214530945,synthetic
18,P0114.png,center,0.13088952111114502,0.9700777530670166,synthetic
18,P0114.png,bbox,0.17866519597942415,0.9435434341430664,synthetic
